scientific_name,park_name,observations,category,common_names,conservation_status,is_protected
Eleocharis obtusa,Bryce National Park,72,Vascular Plant,"Blunt Spike-Rush, Spike-Rush",No Intervention,False
Obolaria virginica,Yellowstone National Park,229,Vascular Plant,"Pennywort, Virginia Pennywort",No Intervention,False
Perideridia bolanderi,Yosemite National Park,145,Vascular Plant,Bolander's Yampah,No Intervention,False
Gayophytum decipiens,Bryce National Park,98,Vascular Plant,Deceptive Groundsmoke,No Intervention,False
Myriophyllum sibiricum,Great Smoky Mountains National Park,76,Vascular Plant,"American Watermilfoil, Shortspike Watermilfoil, Siberian Water-Milfoil",No Intervention,False
Anastrophyllum michauxii,Yosemite National Park,139,Nonvascular Plant,Michaux's Anastrophyllum,No Intervention,False
Yucca glauca,Yosemite National Park,153,Vascular Plant,"Beargrass, Great Plains Yucca, Small Soapweed, Soapweed Yucca, Spanish Bayonet, Yucca",No Intervention,False
Helianthus bolanderi,Great Smoky Mountains National Park,56,Vascular Plant,Serpentine Sunflower,No Intervention,False
Galium parisiense,Yosemite National Park,165,Vascular Plant,Wall Bedstraw,No Intervention,False
Physalis angulata,Great Smoky Mountains National Park,86,Vascular Plant,"Angular Ground-Cherry, Cut-Leaf Ground-Cherry",No Intervention,False
Trisetum canescens,Great Smoky Mountains National Park,64,Vascular Plant,Tall Trisetum,No Intervention,False
Taxiphyllum taxirameum,Great Smoky Mountains National Park,94,Nonvascular Plant,Taxiphyllum Moss,No Intervention,False
Platystemon californicus,Bryce National Park,76,Vascular Plant,"California Creamcups, Creamcups",No Intervention,False
Cinna arundinacea,Bryce National Park,94,Vascular Plant,"Reedgrass, Stout Wood Reed-Grass",No Intervention,False
Trifolium haydenii,Great Smoky Mountains National Park,108,Vascular Plant,Hayden's Clover,No Intervention,False
Solidago uliginosa,Great Smoky Mountains National Park,83,Vascular Plant,Bog Goldenrod,No Intervention,False
Ageratina altissima,Great Smoky Mountains National Park,64,Vascular Plant,White Snakeroot,No Intervention,False
Lysimachia thyrsiflora,Great Smoky Mountains National Park,53,Vascular Plant,"Swamp Loosestrife, Tufted Loosestrife, Tufted Yellow-Loosestrife, Water Loosestrife",No Intervention,False
Picoides dorsalis,Yellowstone National Park,228,Bird,American Three-Toed Woodpecker,No Intervention,False
Piperia transversa,Yellowstone National Park,242,Vascular Plant,Royal Rein Orchid,No Intervention,False
Orthotrichum ohioense,Yosemite National Park,168,Nonvascular Plant,Ohio Orthotrichum Moss,No Intervention,False
Mimulus inconspicuus,Bryce National Park,103,Vascular Plant,Smallflower Monkeyflower,No Intervention,False
Contopus virens,Great Smoky Mountains National Park,58,Bird,Eastern Wood-Pewee,No Intervention,False
Mergus merganser,Bryce National Park,90,Bird,Common Merganser,No Intervention,False
Liriope spicatum,Yosemite National Park,143,Vascular Plant,Liriope,No Intervention,False
Carpodacus cassinii,Yellowstone National Park,282,Bird,Cassin's Finch,No Intervention,False
Epilobium saximontanum,Yosemite National Park,141,Vascular Plant,"Rocky Mountain Willowherb, Rocky Mountain Willowweed",No Intervention,False
Dendroica petechia,Yellowstone National Park,220,Bird,Yellow Warbler,No Intervention,False
Doellingeria umbellata var. umbellata,Yosemite National Park,159,Vascular Plant,Parasol Whitetop,No Intervention,False
Nemophila menziesii var. menziesii,Bryce National Park,105,Vascular Plant,Baby Blue Eyes,No Intervention,False
Sorex cinereus,Yellowstone National Park,293,Mammal,"Common Shrew, Masked Shrew",No Intervention,False
Carex aurea,Bryce National Park,70,Vascular Plant,"Golden Sedge, Golden-Fruit Sedge",No Intervention,False
Scutellaria lateriflora,Yellowstone National Park,241,Vascular Plant,"Mad Dog Skullcap, Mad-Dog Skullcap",No Intervention,False
Calycanthus floridus,Yosemite National Park,144,Vascular Plant,"Carolina-Allspice, Eastern Sweetshrub",No Intervention,False
Lycium barbarum,Yosemite National Park,131,Vascular Plant,"Common Matrimonyvine, Matrimony Vine, Matrimonyvine, Matrimony-Vine",No Intervention,False
Eupatorium fistulosum,Yosemite National Park,135,Vascular Plant,"Hollow Joe-Pye Weed, Joe-Pye-Weed",No Intervention,False
Rhus aromatica,Bryce National Park,124,Vascular Plant,Fragrant Sumac,No Intervention,False
Arctostaphylos viscida ssp. viscida,Bryce National Park,116,Vascular Plant,"Sticky Whiteleaf Manzanita, Whiteleaf Manzanita",No Intervention,False
Brasenia schreberi,Great Smoky Mountains National Park,19,Vascular Plant,"Schreber's Watershield, Watershield",No Intervention,False
Lobelia siphilitica,Yosemite National Park,141,Vascular Plant,"Great Blue Lobelia, Great Lobelia",No Intervention,False
Pteridium aquilinum var. pseudocaudatum,Bryce National Park,146,Vascular Plant,Bracken Fern,No Intervention,False
Sematophyllum marylandicum,Great Smoky Mountains National Park,92,Nonvascular Plant,Maryland Sematophyllum Moss,No Intervention,False
Alisma plantago-aquatica,Great Smoky Mountains National Park,64,Vascular Plant,"American Waterplantain, European Water Plantain",No Intervention,False
Argentina anserina,Great Smoky Mountains National Park,102,Vascular Plant,Silverweed,No Intervention,False
Tortula amphidiacea,Bryce National Park,108,Nonvascular Plant,Tortula Moss,No Intervention,False
Calycanthus floridus var. floridus,Bryce National Park,93,Vascular Plant,Eastern Sweetshrub,No Intervention,False
Photinia floribunda,Great Smoky Mountains National Park,42,Vascular Plant,Purple Chokeberry,No Intervention,False
Calamintha nepeta,Great Smoky Mountains National Park,90,Vascular Plant,Lesser Calamint,No Intervention,False
Draba crassa,Yellowstone National Park,248,Vascular Plant,Thickleaf Draba,No Intervention,False
Galearis spectabilis,Yellowstone National Park,246,Vascular Plant,"Showy Orchid, Showy Orchis",No Intervention,False
Epilobium ciliatum ssp. ciliatum,Great Smoky Mountains National Park,112,Vascular Plant,Willow-Herb,No Intervention,False
Phacelia congdonii,Bryce National Park,106,Vascular Plant,Congdon's Phacelia,No Intervention,False
Poecile gambeli,Yosemite National Park,164,Bird,Mountain Chickadee,No Intervention,False
Taenidia integerrima,Yosemite National Park,170,Vascular Plant,"Yellow Pimpernel, Yellow Pimpernell",No Intervention,False
Pituophis catenifer catenifer,Yosemite National Park,115,Reptile,Pacific Gopher Snake,No Intervention,False
Ribes cereum var. cereum,Great Smoky Mountains National Park,115,Vascular Plant,"Wax Currant, White Squaw Currant",No Intervention,False
Danthonia californica,Great Smoky Mountains National Park,71,Vascular Plant,California Oatgrass,No Intervention,False
Polygonum convolvulus,Yosemite National Park,135,Vascular Plant,Black Bindweed,No Intervention,False
Holcus lanatus,Bryce National Park,117,Vascular Plant,"Common Velvet Grass, Velvetgrass",No Intervention,False
Cinclus mexicanus,Great Smoky Mountains National Park,49,Bird,American Dipper,No Intervention,False
Peromyscus maniculatus,Bryce National Park,105,Mammal,Deer Mouse,No Intervention,False
Dicranodontium denudatum,Yosemite National Park,179,Nonvascular Plant,Denuded Dicranodontium Moss,No Intervention,False
Cerastium arvense,Yellowstone National Park,259,Vascular Plant,"Field Chickweed, Field Mouse-Ear Chickweed, Starry Chickweed",No Intervention,False
Soliva sessilis,Bryce National Park,68,Vascular Plant,Field Soliva,No Intervention,False
Chasmistes liorus,Great Smoky Mountains National Park,23,Fish,June Sucker,Endangered,True
Matelea gonocarpos,Bryce National Park,93,Vascular Plant,"Angular-Fruited Milkvine, Climbing Milkweed",No Intervention,False
Kalmia polifolia ssp. polifolia,Bryce National Park,124,Vascular Plant,Mountain Laurel,No Intervention,False
Mentha X gracilis,Bryce National Park,101,Vascular Plant,Mint,No Intervention,False
Setophaga coronata,Bryce National Park,120,Bird,Yellow-Rumped Warbler,No Intervention,False
Dichelostemma capitatum ssp. capitatum,Bryce National Park,110,Vascular Plant,"Bluedick, Bluedicks",No Intervention,False
Cryptantha humilis,Yellowstone National Park,250,Vascular Plant,"Round-Spike Catseye, Roundspike Cryptantha",No Intervention,False
Setophaga fusca,Yellowstone National Park,258,Bird,Blackburnian Warbler,No Intervention,False
Polystichum acrostichoides,Great Smoky Mountains National Park,76,Vascular Plant,Christmas Fern,No Intervention,False
Microtus pennsylvanicus,Yellowstone National Park,195,Mammal,Meadow Vole,No Intervention,False
Gratiola neglecta,Bryce National Park,128,Vascular Plant,"Clammy Hedge-Hyssop, Hedge-Hyssop",No Intervention,False
Pinus taeda,Yellowstone National Park,280,Vascular Plant,Loblolly Pine,No Intervention,False
Senecio serra var. serra,Bryce National Park,89,Vascular Plant,"Tall Groundsel, Tall Ragwort",No Intervention,False
Ondatra zibethicus,Great Smoky Mountains National Park,61,Mammal,Muskrat,No Intervention,False
Gayophytum diffusum ssp. parviflorum,Yellowstone National Park,228,Vascular Plant,Spreading Groundsmoke,No Intervention,False
Passerina caerulea,Bryce National Park,66,Bird,Blue Grosbeak,No Intervention,False
Apocynum androsaemifolium,Bryce National Park,73,Vascular Plant,Spreading Dogbane,No Intervention,False
Cheilanthes feei,Bryce National Park,132,Vascular Plant,"Fee's Lipfern, Slender Lip Fern, Slender Lipfern",No Intervention,False
Erigeron strigosus,Great Smoky Mountains National Park,69,Vascular Plant,"Daisy Fleabane, Daisy-Fleabane",No Intervention,False
Deschampsia cespitosa ssp. cespitosa,Bryce National Park,80,Vascular Plant,Tufted Hairgrass,No Intervention,False
Corallorrhiza mertensiana,Bryce National Park,107,Vascular Plant,Pacific Coralroot,No Intervention,False
Hordeum brachyantherum ssp. californicum,Bryce National Park,95,Vascular Plant,California Barley,No Intervention,False
Oxalis stricta,Great Smoky Mountains National Park,76,Vascular Plant,"Upright Yellow Wood-Sorrel, Yellow Wood-Sorrel",No Intervention,False
Calypso bulbosa,Yellowstone National Park,280,Vascular Plant,"Fairy Slipper, Fairyslipper, Fairyslipper Orchid, Fairy-Slipper Orchid",No Intervention,False
Commelina communis,Great Smoky Mountains National Park,70,Vascular Plant,"Asiatic Dayflower, Common Dayflower",No Intervention,False
Ectopistes migratorius,Great Smoky Mountains National Park,55,Bird,Passenger Pigeon,No Intervention,False
Luxilus cornutus,Yosemite National Park,138,Fish,Common Shiner,No Intervention,False
Geum radiatum,Yosemite National Park,47,Vascular Plant,"Mountain Avens, Spreading Avens",Endangered,True
Mitella stauropetala,Yosemite National Park,154,Vascular Plant,"Side-Flower Miterwort, Smallflower Miterwort, Starry Miterwort",No Intervention,False
Polypogon monspeliensis,Yosemite National Park,119,Vascular Plant,"Annual Rabbitsfoot Grass, Annual Rabbit's-Foot Grass, Rabbitfoot Beardgrass, Rabbitfoot Grass, Rabbitfoot Polypogon, Rabbitfootgrass, Rabbit'sfootgrass",No Intervention,False
Iva xanthifolia,Yosemite National Park,161,Vascular Plant,"Burweed Marshelder, Carelessweed, False Ragweed, Giant Marshelder, Giant Sumpweed, Horseweed, Marshelder, Rag Sumpweed",No Intervention,False
Lactuca serriola,Yosemite National Park,159,Vascular Plant,Prickly Lettuce,No Intervention,False
Campylium hispidulum,Bryce National Park,91,Nonvascular Plant,Hispid Campylium Moss,No Intervention,False
Hydromantes platycephalus,Yosemite National Park,162,Amphibian,Mount Lyell Salamander,Species of Concern,True
Zizia aptera,Yosemite National Park,123,Vascular Plant,Golden Alexanders,No Intervention,False
Sarcodes sanguinea,Yellowstone National Park,277,Vascular Plant,Snowplant,No Intervention,False
Valerianella umbilicata,Great Smoky Mountains National Park,54,Vascular Plant,"Corn Salad, Navel-Shape Corn-Salad",No Intervention,False
Allium burdickii,Great Smoky Mountains National Park,90,Vascular Plant,"White-Stemmed Ramps, Leeks",No Intervention,False
Bucephala islandica,Yellowstone National Park,269,Bird,Barrow's Goldeneye,No Intervention,False
Megaceryle alcyon,Bryce National Park,102,Bird,Belted Kingfisher,No Intervention,False
Verbena lasiostachys var. lasiostachys,Yellowstone National Park,217,Vascular Plant,Western Vervain,No Intervention,False
Carex hirsutella,Yellowstone National Park,204,Vascular Plant,Hirsute Sedge,No Intervention,False
Yucca filamentosa,Yosemite National Park,190,Vascular Plant,Adam's-Needle,No Intervention,False
Potentilla diversifolia var. diversifolia,Yosemite National Park,149,Vascular Plant,"Mountain-Meadow Cinquefoil, Varileaf Cinquefoil",No Intervention,False
Spiraea virginiana,Great Smoky Mountains National Park,45,Vascular Plant,Virginia Spiraea,Threatened,True
Stephanomeria virgata ssp. pleurocarpa,Yellowstone National Park,232,Vascular Plant,Wand Wirelettuce,No Intervention,False
Bidens cernua,Yellowstone National Park,247,Vascular Plant,"Nodding Beggar-Ticks, Stick-Tight",No Intervention,False
Felis silvestris,Yosemite National Park,150,Mammal,"Wild Cat, Wildcat",No Intervention,False
Lithophragma bolanderi,Yosemite National Park,169,Vascular Plant,Bolander's Woodland-Star,No Intervention,False
Myotis grisescens,Yellowstone National Park,68,Mammal,Gray Myotis,Endangered,True
Phaeoceros laevis,Great Smoky Mountains National Park,49,Nonvascular Plant,Phaeoceros,No Intervention,False
Juglans mandshurica,Yellowstone National Park,265,Vascular Plant,Manchu Walnut,No Intervention,False
Lotus humistratus,Bryce National Park,118,Vascular Plant,"Foothill Deervetch, Maresfat",No Intervention,False
Carex lemmonii,Bryce National Park,116,Vascular Plant,Lemmon's Sedge,No Intervention,False
Scutellaria saxatilis,Yellowstone National Park,240,Vascular Plant,Rock Skullcap,No Intervention,False
Sisyrinchium bellum,Yellowstone National Park,230,Vascular Plant,Western Blue-Eyed Grass,No Intervention,False
Poa reflexa,Yosemite National Park,151,Vascular Plant,Nodding Bluegrass,No Intervention,False
Mentha arvensis,Yellowstone National Park,226,Vascular Plant,Corn Mint,No Intervention,False
Potamogeton nodosus,Yosemite National Park,155,Vascular Plant,Longleaf Pondweed,No Intervention,False
Coscinodon cribrosus,Yosemite National Park,133,Nonvascular Plant,Coscinodon Moss,No Intervention,False
Carex pyrenaica,Bryce National Park,131,Vascular Plant,Pyrenean Sedge,No Intervention,False
Lathyrus lanszwertii var. lanszwertii,Bryce National Park,122,Vascular Plant,"Lanszwert's Pea, Lanszwert's Peavine",No Intervention,False
Thamnobryum alleghaniense,Great Smoky Mountains National Park,103,Nonvascular Plant,Allegany Thamnobryum Moss,No Intervention,False
Conium maculatum,Yosemite National Park,172,Vascular Plant,Poison Hemlock,No Intervention,False
Circus cyaneus,Yosemite National Park,153,Bird,Northern Harrier,Species of Concern,True
Plagiomnium rostratum,Great Smoky Mountains National Park,87,Nonvascular Plant,Plagiomnium Moss,No Intervention,False
Ribes viscosissimum,Yosemite National Park,158,Vascular Plant,Sticky Currant,No Intervention,False
Cryptogramma cascadensis,Yellowstone National Park,244,Vascular Plant,Cascade Rockbrake,No Intervention,False
Heterocodon rariflorum,Yosemite National Park,135,Vascular Plant,"Rareflower Heterocodon, Western Pearlflower",No Intervention,False
Penstemon heterophyllus var. purdyi,Great Smoky Mountains National Park,76,Vascular Plant,Purdy's Penstemon,No Intervention,False
Saccharum alopecuroidum,Bryce National Park,84,Vascular Plant,Beardgrass,No Intervention,False
Centaurea diffusa,Yellowstone National Park,278,Vascular Plant,"Diffuse Knapweed, White Knapweed",No Intervention,False
Xerophyllum tenax,Yellowstone National Park,244,Vascular Plant,Common Beargrass,No Intervention,False
Sitta canadensis,Great Smoky Mountains National Park,41,Bird,Red-Breasted Nuthatch,No Intervention,False
Melica subulata,Great Smoky Mountains National Park,70,Vascular Plant,Alaska Oniongrass,No Intervention,False
Ardea herodias,Yellowstone National Park,199,Bird,Great Blue Heron,Species of Concern,True
Delphinium exaltatum,Yellowstone National Park,225,Vascular Plant,Tall Larkspur,Species of Concern,True
Matelea gonocarpos,Yellowstone National Park,237,Vascular Plant,"Angular-Fruited Milkvine, Climbing Milkweed",No Intervention,False
Galium hypotrichium ssp. hypotrichium,Bryce National Park,72,Vascular Plant,Alpine Bedstraw,No Intervention,False
Chamaesyce serpyllifolia,Yellowstone National Park,249,Vascular Plant,"Thymeleaf Sandmat, Thyme-Leaf Sandmat",No Intervention,False
Sterna hirundo,Great Smoky Mountains National Park,71,Bird,Common Tern,Species of Concern,True
Racomitrium microcarpon,Yellowstone National Park,258,Nonvascular Plant,Racomitrium Moss,No Intervention,False
Buteo lagopus,Yosemite National Park,139,Bird,Rough-Legged Hawk,Species of Concern,True
Corynorhinus townsendii,Yellowstone National Park,266,Mammal,"Mule-Eared Bat, Pacific Townsend's Big-Eared Bat, Townsend's Big-Eared Bat, Townsend's Big-Eared Bat, Western Big-Eared Bat, Western Long-Eared Bat, Western Lump-Nosed Bat",No Intervention,False
Castilleja pulchella,Bryce National Park,110,Vascular Plant,Beautiful Indian Paintbrush,No Intervention,False
Thlaspi arvense,Yellowstone National Park,268,Vascular Plant,Field Pennycress,No Intervention,False
Lotus strigosus,Yellowstone National Park,256,Vascular Plant,"Bishop's Lotus, Strigose Bird's-Foot Trefoil, Strigose Bird's-Foot-Trefoil",No Intervention,False
Quercus alba,Bryce National Park,86,Vascular Plant,White Oak,No Intervention,False
Spermophilus armatus,Bryce National Park,106,Mammal,Uinta Ground Squirrel,No Intervention,False
Erysimum capitatum,Yellowstone National Park,251,Vascular Plant,"Coast Wallflower, Sand Dune Wallflower, Western Wallflower",No Intervention,False
Vermivora lawrencii,Great Smoky Mountains National Park,97,Bird,Lawrence's Warbler,No Intervention,False
Brachyelytrum erectum,Yosemite National Park,160,Vascular Plant,"Bearded Short-Husk, Common Shorthusk",No Intervention,False
Prunus emarginata,Bryce National Park,113,Vascular Plant,"Bitter Cherry, Bittercherry",No Intervention,False
Carex crinita var. crinita,Yosemite National Park,176,Vascular Plant,Drooping Sedge,No Intervention,False
Vermivora lawrencei,Yosemite National Park,145,Bird,Lawrence's Warbler,No Intervention,False
Bartonia paniculata,Great Smoky Mountains National Park,60,Vascular Plant,Twining Screwstem,No Intervention,False
Pseudostellaria sierrae,Bryce National Park,84,Vascular Plant,Sierra Starwort,No Intervention,False
Photinia melanocarpa,Yosemite National Park,138,Vascular Plant,Black Chokeberry,No Intervention,False
Arctostaphylos nevadensis,Yellowstone National Park,244,Vascular Plant,Pinemat Manzanita,No Intervention,False
Maclura pomifera,Yosemite National Park,131,Vascular Plant,"Osageorange, Osage-Orange",No Intervention,False
Aquilegia vulgaris,Great Smoky Mountains National Park,123,Vascular Plant,European Columbine,No Intervention,False
Agrostis exarata,Yosemite National Park,116,Vascular Plant,Spike Bentgrass,No Intervention,False
Symphyotrichum concolor,Great Smoky Mountains National Park,40,Vascular Plant,Eastern Silver Aster,No Intervention,False
Orthocarpus luteus,Yosemite National Park,150,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",No Intervention,False
Lupinus pratensis var. pratensis,Great Smoky Mountains National Park,91,Vascular Plant,Inyo Meadow Lupine,No Intervention,False
Minuartia austromontana,Great Smoky Mountains National Park,106,Vascular Plant,Columbian Stitchwort,No Intervention,False
Carex aurea,Great Smoky Mountains National Park,95,Vascular Plant,"Golden Sedge, Golden-Fruit Sedge",No Intervention,False
Bryohaplocladium virginianum,Yosemite National Park,133,Nonvascular Plant,Virginia Bryohaplocladium Moss,No Intervention,False
Platyhypnidium riparoides,Great Smoky Mountains National Park,66,Nonvascular Plant,Platyhypnidium Moss,No Intervention,False
Selasphorus rufus,Yosemite National Park,133,Bird,Rufous Hummingbird,Species of Concern,True
Carex leptalea,Bryce National Park,86,Vascular Plant,"Bristly-Stalk Sedge, Sedge",No Intervention,False
Poecile carolinensis,Yosemite National Park,166,Bird,Carolina Chickadee,No Intervention,False
Symphyotrichum foliaceum var. parryi,Yosemite National Park,175,Vascular Plant,Parry's Aster,No Intervention,False
Lloydia serotina,Great Smoky Mountains National Park,90,Vascular Plant,"Alpine Lily, Alplily, Common Alplily",No Intervention,False
Bryum dichotomum,Bryce National Park,91,Nonvascular Plant,Bryum Moss,No Intervention,False
Corallorrhiza striata,Bryce National Park,85,Vascular Plant,"Hooded Coralroot, Striped Coralroot",No Intervention,False
Elanoides forficatus,Yosemite National Park,119,Bird,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern,True
Heuchera micrantha,Yellowstone National Park,225,Vascular Plant,Crevice Alumroot,No Intervention,False
Mimulus layneae,Yellowstone National Park,224,Vascular Plant,Layne's Monkeyflower,No Intervention,False
Chen caerulescens,Yellowstone National Park,248,Bird,Snow Goose,No Intervention,False
Euphorbia commutata,Yosemite National Park,194,Vascular Plant,"Spurge, Wood Spurge",No Intervention,False
Hydrophyllum capitatum var. capitatum,Great Smoky Mountains National Park,78,Vascular Plant,Ballhead Waterleaf,No Intervention,False
Eucladium verticillatum,Yosemite National Park,162,Nonvascular Plant,Eucladium Moss,No Intervention,False
Sedum pulchellum,Bryce National Park,109,Vascular Plant,Widowscross,No Intervention,False
Castanea mollissima,Bryce National Park,82,Vascular Plant,Chinese Chestnut,No Intervention,False
Hylocomiastrum umbratum,Bryce National Park,75,Nonvascular Plant,Hylocomiastrum Moss,No Intervention,False
Noccaea montana,Bryce National Park,88,Vascular Plant,Alpine Pennycress,No Intervention,False
Prunus emarginata,Great Smoky Mountains National Park,82,Vascular Plant,"Bitter Cherry, Bittercherry",No Intervention,False
Oryzomys palustris,Yosemite National Park,141,Mammal,Marsh Rice Rat,No Intervention,False
Accipiter cooperii,Great Smoky Mountains National Park,65,Bird,Cooper's Hawk,Species of Concern,True
Sedum acre,Yellowstone National Park,256,Vascular Plant,"Gold-Moss, Mossy Stonecrop",No Intervention,False
Leptodontium flexifolium,Yosemite National Park,171,Nonvascular Plant,Pale-Margined Leptodontium,No Intervention,False
Fontinalis sullivantii,Great Smoky Mountains National Park,103,Nonvascular Plant,Sullivant's Fontinalis Moss,No Intervention,False
Rhinichthys osculus,Bryce National Park,112,Fish,Speckled Dace,No Intervention,False
Juglans cinerea,Yosemite National Park,149,Vascular Plant,"Butternut, White Walnut",Species of Concern,True
Cirsium undulatum,Yellowstone National Park,238,Vascular Plant,"Gray Thistle, Wavyleaf Thistle, Wavy-Leaf Thistle",No Intervention,False
Scutellaria ovata,Great Smoky Mountains National Park,89,Vascular Plant,Heart-Leaved Skullcap,No Intervention,False
Hygroamblystegium tenax,Bryce National Park,105,Nonvascular Plant,Hygroamblystegium Moss,No Intervention,False
Saxifraga virginiensis var. virginiensis,Bryce National Park,90,Vascular Plant,Early Saxifrage,No Intervention,False
Sonchus arvensis,Bryce National Park,127,Vascular Plant,"Creeping Sowthistle, Field Sowthistle, Field Sow-Thistle, Perennial Sowthistle, Sowthistle",No Intervention,False
Mylopharodon conocephalus,Yellowstone National Park,239,Fish,Hardhead,No Intervention,False
Turdus migratorius,Yellowstone National Park,250,Bird,American Robin,No Intervention,False
Echium vulgare,Yosemite National Park,128,Vascular Plant,"Blueweed, Common Viper's-Bugloss",No Intervention,False
Angelica atropurpurea,Great Smoky Mountains National Park,79,Vascular Plant,Purplestem Angelica,No Intervention,False
Ajuga reptans,Yosemite National Park,155,Vascular Plant,"Bugleweed, Carpet-Bugel",No Intervention,False
Eriophyllum lanatum,Bryce National Park,98,Vascular Plant,"Common Woolly Sunflower, Woody Eriophyllum, Woolly Eriophyllum, Wooly Daisy",No Intervention,False
Pinus monticola,Yosemite National Park,138,Vascular Plant,"Idaho White Pine, Mountain White Pine, Silver Pine, Western White Pine",No Intervention,False
Gentianella tenella,Bryce National Park,88,Vascular Plant,"Dane's Dwarf Gentian, Dane's Dwarfgentian, Lapland Gentian",No Intervention,False
Sedum telephium,Bryce National Park,103,Vascular Plant,"Garden Stonecrop, Orpine",No Intervention,False
Vermivora lawrencei,Yellowstone National Park,237,Bird,Lawrence's Warbler,No Intervention,False
Holcus lanatus,Bryce National Park,96,Vascular Plant,"Common Velvet Grass, Velvetgrass",No Intervention,False
Elephantopus tomentosus,Yosemite National Park,131,Vascular Plant,"Hairy Tobaccoweed, Tobaccoweed",No Intervention,False
Viola sagittata var. ovata,Yellowstone National Park,235,Vascular Plant,Arrowleaf Violet,No Intervention,False
Liriope spicatum,Great Smoky Mountains National Park,58,Vascular Plant,Liriope,No Intervention,False
Spizella breweri,Yellowstone National Park,221,Bird,Brewer's Sparrow,Species of Concern,True
Eupatorium perfoliatum,Great Smoky Mountains National Park,76,Vascular Plant,"Boneset, Common Boneset",No Intervention,False
Dicentra uniflora,Great Smoky Mountains National Park,72,Vascular Plant,"Longhorn Steer's-Head, Steershead",No Intervention,False
Uropappus lindleyi,Yellowstone National Park,246,Vascular Plant,Lindley's Silverpuffs,No Intervention,False
Juncus vaseyi,Yosemite National Park,146,Vascular Plant,"Vasey Rush, Vasey's Rush",No Intervention,False
Bromus commutatus,Yellowstone National Park,242,Vascular Plant,"Common Brome Grass, Hairy Brome",No Intervention,False
Glaucomys sabrinus coloratus,Great Smoky Mountains National Park,21,Mammal,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered,True
Bazzania denudata,Yellowstone National Park,252,Nonvascular Plant,Bazzania,No Intervention,False
Plethodon oconaluftee,Bryce National Park,106,Amphibian,Southern Appalachian Salamander,No Intervention,False
Leucanthemum vulgare,Yosemite National Park,91,Vascular Plant,Daisy,No Intervention,False
Clethra acuminata,Yosemite National Park,148,Vascular Plant,Mountain Pepper-Bush,No Intervention,False
Agoseris glauca var. monticola,Great Smoky Mountains National Park,40,Vascular Plant,Pale Agoseris,No Intervention,False
Minuartia californica,Bryce National Park,102,Vascular Plant,California Sandwort,No Intervention,False
Polygonum convolvulus,Bryce National Park,101,Vascular Plant,Black Bindweed,No Intervention,False
Celtis laevigata,Great Smoky Mountains National Park,95,Vascular Plant,"Smooth Hackberry, Sugarberry",No Intervention,False
Physocarpus opulifolius,Great Smoky Mountains National Park,93,Vascular Plant,"Eastern Ninebark, Ninebark",No Intervention,False
Symphyotrichum foliaceum var. canbyi,Bryce National Park,104,Vascular Plant,Canby's Aster,No Intervention,False
Eragrostis hirsuta,Yosemite National Park,136,Vascular Plant,Lovegrass,No Intervention,False
Lasiurus cinereus,Great Smoky Mountains National Park,84,Mammal,Hoary Bat,No Intervention,False
Carex lanuginosa,Yellowstone National Park,275,Vascular Plant,Woolly Sedge,No Intervention,False
Melilotus albus,Yellowstone National Park,265,Vascular Plant,White Sweet-Clover,No Intervention,False
Mentzelia lindleyi,Yellowstone National Park,259,Vascular Plant,Lindley's Blazingstar,No Intervention,False
Floerkea proserpinacoides,Bryce National Park,96,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",No Intervention,False
Scirpus congdonii,Great Smoky Mountains National Park,69,Vascular Plant,Congdon's Bulrush,No Intervention,False
Circaea lutetiana ssp. canadensis,Yosemite National Park,140,Vascular Plant,"Intermediate Enchanter's Nightshade, Larger Enchanter's-Nightshade",No Intervention,False
Hypnum cupressiforme var. filiforme,Bryce National Park,90,Nonvascular Plant,Filiform Hypnum Moss,No Intervention,False
Lomatium utriculatum,Bryce National Park,120,Vascular Plant,Common Lomatium,No Intervention,False
Silene drummondii var. drummondii,Yosemite National Park,159,Vascular Plant,"Drummond's Campion, Drummond's Catchfly",No Intervention,False
Tyrannus verticalis,Yellowstone National Park,294,Bird,Western Kingbird,No Intervention,False
Ambystoma opacum,Great Smoky Mountains National Park,78,Amphibian,Marbled Salamander,No Intervention,False
Carex elynoides,Bryce National Park,94,Vascular Plant,"Blackroot Sedge, Black-Root Sedge",No Intervention,False
Ranunculus abortivus,Bryce National Park,95,Vascular Plant,"Kidney-Leaved Buttercup, Small-Flowered Buttercup",No Intervention,False
Potamogeton amplifolius,Yosemite National Park,178,Vascular Plant,"Broad-Leaved Pondweed, Large-Leaf Pondweed",No Intervention,False
Poa compressa,Yellowstone National Park,266,Vascular Plant,"Canada Bluegrass, Canada Bluegrass, Wiregrass",No Intervention,False
Besseya wyomingensis,Yosemite National Park,137,Vascular Plant,"Wyoming Besseya, Wyoming Kittentail",No Intervention,False
Helianthella californica var. nevadensis,Yellowstone National Park,264,Vascular Plant,Nevada Helianthella,No Intervention,False
Lotus wrangelianus,Yosemite National Park,160,Vascular Plant,Chilean Bird's-Foot Trefoil,No Intervention,False
